Neighborhood,Release
New Homestead,0.0
Hazelwood,0.0
South Oakland,0.0
Squirrel Hill South,0.0
Glen Hazel,8.0
Lincoln Place,8.0
Hays,8.0
Greenfield,8.0
New Homestead,8.0
Hazelwood,8.0
South Oakland,8.0
Squirrel Hill South,8.0
Glen Hazel,0.0
Lincoln Place,0.0
Hays,0.0
Greenfield,0.0
New Homestead,0.0
Hazelwood,0.0
South Oakland,0.0
Squirrel Hill South,0.0
Glen Hazel,6500.0
Lincoln Place,6500.0
Hays,6500.0
Greenfield,6500.0
New Homestead,6500.0
Hazelwood,6500.0
South Oakland,6500.0
Squirrel Hill South,6500.0
Glen Hazel,0.0
Lincoln Place,0.0
Hays,0.0
Greenfield,0.0
New Homestead,0.0
Hazelwood,0.0
South Oakland,0.0
Squirrel Hill South,0.0
East Carnegie,0.0
East Carnegie,0.0
Oakwood,12000.0
Westwood,12000.0
Fairywood,12000.0
East Carnegie,12000.0
Crafton Heights,12000.0
Windgap,12000.0
Oakwood,3400.0
Westwood,3400.0
Fairywood,3400.0
East Carnegie,3400.0
Crafton Heights,3400.0
Windgap,3400.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,7300.0
Allegheny West,7300.0
Manchester,7300.0
Marshall-Shadeland,7300.0
Central Northside,7300.0
Allegheny Center,7300.0
Brighton Heights,7300.0
California-Kirkbride,7300.0
Chateau,7300.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,0.0
Allegheny West,0.0
Manchester,0.0
Marshall-Shadeland,0.0
Central Northside,0.0
Allegheny Center,0.0
Brighton Heights,0.0
California-Kirkbride,0.0
Chateau,0.0
North Shore,5.0
Allegheny West,5.0
Manchester,5.0
Marshall-Shadeland,5.0
Central Northside,5.0
Allegheny Center,5.0
Brighton Heights,5.0
California-Kirkbride,5.0
Chateau,5.0
Brookline,5.0
Beltzhoover,5.0
Bon Air,5.0
Overbrook,5.0
Carrick,5.0
Mount Washington,5.0
Beechview,5.0
Brookline,5.0
Beltzhoover,5.0
Bon Air,5.0
Overbrook,5.0
Carrick,5.0
Mount Washington,5.0
Beechview,5.0
Brookline,5.0
Beltzhoover,5.0
Bon Air,5.0
Overbrook,5.0
Carrick,5.0
Mount Washington,5.0
Beechview,5.0
Brookline,5.0
Beltzhoover,5.0
Bon Air,5.0
Overbrook,5.0
Carrick,5.0
Mount Washington,5.0
Beechview,5.0
Brookline,5.0
Beltzhoover,5.0
Bon Air,5.0
Overbrook,5.0
Carrick,5.0
Mount Washington,5.0
Beechview,5.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Lincoln Place,1200.0
Hays,1200.0
New Homestead,1200.0
Lincoln Place,9900.0
Hays,9900.0
New Homestead,9900.0
East Carnegie,0.0
East Carnegie,0.0
Perry North,5.0
Northview Heights,5.0
North Shore,5.0
Allegheny West,5.0
Manchester,5.0
Marshall-Shadeland,5.0
Central Northside,5.0
East Allegheny,5.0
Allegheny Center,5.0
Brighton Heights,5.0
Troy Hill,5.0
California-Kirkbride,5.0
Spring Hill-City View,5.0
Chateau,5.0
Spring Garden,5.0
Perry South,5.0
Fineview,5.0
Perry North,5.0
Northview Heights,5.0
North Shore,5.0
Allegheny West,5.0
Manchester,5.0
Marshall-Shadeland,5.0
Central Northside,5.0
East Allegheny,5.0
Allegheny Center,5.0
Brighton Heights,5.0
Troy Hill,5.0
California-Kirkbride,5.0
Spring Hill-City View,5.0
Chateau,5.0
Spring Garden,5.0
Perry South,5.0
Fineview,5.0
Perry North,5.0
Northview Heights,5.0
North Shore,5.0
Allegheny West,5.0
Manchester,5.0
Marshall-Shadeland,5.0
Central Northside,5.0
East Allegheny,5.0
Allegheny Center,5.0
Brighton Heights,5.0
Troy Hill,5.0
California-Kirkbride,5.0
Spring Hill-City View,5.0
Chateau,5.0
Spring Garden,5.0
Perry South,5.0
Fineview,5.0
Perry North,0.0
Northview Heights,0.0
North Shore,0.0
Allegheny West,0.0
Manchester,0.0
Marshall-Shadeland,0.0
Central Northside,0.0
East Allegheny,0.0
Allegheny Center,0.0
Brighton Heights,0.0
Troy Hill,0.0
California-Kirkbride,0.0
Spring Hill-City View,0.0
Chateau,0.0
Spring Garden,0.0
Perry South,0.0
Fineview,0.0
Lincoln Place,54000.0
Hays,54000.0
Lincoln Place,28.0
Hays,28.0
Lincoln Place,0.0
Hays,0.0
Lincoln Place,230.0
Hays,230.0
Garfield,14.0
East Liberty,14.0
Morningside,14.0
Lower Lawrenceville,14.0
Polish Hill,14.0
Bloomfield,14.0
Central Lawrenceville,14.0
Stanton Heights,14.0
Strip District,14.0
Upper Lawrenceville,14.0
Garfield,52.0
East Liberty,52.0
Morningside,52.0
Lower Lawrenceville,52.0
Polish Hill,52.0
Bloomfield,52.0
Central Lawrenceville,52.0
Stanton Heights,52.0
Strip District,52.0
Upper Lawrenceville,52.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Brookline,250.0
